Classifier,Dataset,Labelling,Encoding,Prec_fold0,Rec_fold0,F1_fold0,AUC_fold0,Prec_fold1,Rec_fold1,F1_fold1,AUC_fold1,Prec_fold2,Rec_fold2,F1_fold2,AUC_fold2
dt,sepsis,mra_tra,mra,1.0,0.9890710382513661,0.9945054945054945,1.0,1.0,1.0,1.0,1.0,0.9945945945945946,1.0,0.997289972899729,0.996987951807229
dt,sepsis,mra_tra,mra_data,1.0,0.9836065573770492,0.9917355371900827,0.9972677595628415,0.994535519125683,0.994535519125683,0.994535519125683,0.9968751022545074,0.9945945945945946,1.0,0.997289972899729,0.996987951807229
dt,sepsis,mra_tra,payload,0.9836065573770492,0.9782608695652174,0.9809264305177111,0.9843668150864328,0.9782608695652174,0.9836065573770492,0.9809264305177111,0.9788946696770393,0.9470899470899471,0.9781420765027322,0.9623655913978495,0.9748699322666143
dt,sepsis,mra_tra,tr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9945945945945946,1.0,0.997289972899729,0.996987951807229
dt,sepsis,mra_tra,tr_data,1.0,0.9890710382513661,0.9945054945054945,1.0,0.994535519125683,0.994535519125683,0.994535519125683,0.996891462975688,0.9945945945945946,1.0,0.997289972899729,0.996987951807229
dt,sepsis,mra_tra,tra,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9945945945945946,1.0,0.997289972899729,0.996987951807229
dt,sepsis,mra_tra,tra_data,1.0,0.994535519125683,0.9972602739726028,0.9972677595628415,0.9945054945054945,0.9890710382513661,0.9917808219178081,0.9969732665815909,0.9945945945945946,1.0,0.997289972899729,0.996987951807229
dt,sepsis,payload2,baseline,0.15,0.45,0.22500000000000003,0.7090151515151515,0.2926829268292683,0.6,0.39344262295081966,0.7647727272727273,0.11538461538461539,0.15789473684210525,0.13333333333333333,0.5960407059945937
dt,sepsis,payload2,bs_data,0.8636363636363636,1.0,0.9268292682926829,0.994275719510256,0.8695652173913043,1.0,0.9302325581395349,0.9943939393939395,0.8333333333333334,1.0,0.9090909090909091,0.9915151515151516
dt,sepsis,payload2,dc_data,1.0,1.0,1.0,1.0,1.0,0.95,0.9743589743589743,0.975,0.9090909090909091,1.0,0.9523809523809523,0.996969696969697
dt,sepsis,payload2,dc_dwd_payload,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.9205756082048021,1.0,1.0,1.0,1.0,0.8695652173913043,1.0,0.9302325581395349,0.9954545454545455
